RANK,FILM,Owned,Nick
1,CITIZEN KANE (1941),,
2,"GODFATHER, THE (1972)",,
3,CASABLANCA (1942),x,
4,RAGING BULL (1980),,
5,SINGIN' IN THE RAIN (1952),,
6,GONE WITH THE WIND (1939),,
7,LAWRENCE OF ARABIA (1962),x,
8,SCHINDLER'S LIST (1993),x,
9,VERTIGO (1958),x,
10,"WIZARD OF OZ, THE (1939)",,
11,CITY LIGHTS (1931),,
12,"SEARCHERS, THE (1956)",x,
13,STAR WARS (1977),,
14,PSYCHO (1960),,
15,2001: A SPACE ODYSSEY (1968),,
16,SUNSET BLVD. (1950),x,
17,"GRADUATE, THE (1967)",,
18,"GENERAL, THE (1927)",,
19,ON THE WATERFRONT (1954),,
20,IT'S A WONDERFUL LIFE (1946),,
21,CHINATOWN (1974),x,
22,SOME LIKE IT HOT (1959),x,
23,"GRAPES OF WRATH, THE (1940)",,
24,E.T. THE EXTRA-TERRESTRIAL (1982),,
25,TO KILL A MOCKINGBIRD (1962),,
26,MR. SMITH GOES TO WASHINGTON (1939),,
27,HIGH NOON (1952),x,
28,ALL ABOUT EVE (1950),,
29,DOUBLE INDEMNITY (1944),,
30,APOCALYPSE NOW (1979),,
31,"MALTESE FALCON, THE (1941)",,
32,"GODFATHER PART II, THE (1974)",,
33,ONE FLEW OVER THE CUCKOO'S NEST (1975),x,
34,SNOW WHITE AND THE SEVEN DWARFS (1937),,
35,ANNIE HALL (1977),,
36,"BRIDGE ON THE RIVER KWAI, THE (1957)",x,
37,"BEST YEARS OF OUR LIVES, THE (1946)",,
38,"TREASURE OF THE SIERRA MADRE, THE (1948)",x,
39,DR. STRANGELOVE (1964),x,
40,"SOUND OF MUSIC, THE (1965)",,
41,KING KONG (1933),,
42,BONNIE AND CLYDE (1967),,
43,MIDNIGHT COWBOY (1969),,
44,"PHILADELPHIA STORY, THE (1940)",,
45,SHANE (1953),,
46,IT HAPPENED ONE NIGHT (1934),,
47,"STREETCAR NAMED DESIRE, A (1951)",x,
48,REAR WINDOW (1954),,
49,INTOLERANCE (1916),,
50,"LORD OF THE RINGS: THE FELLOWSHIP OF THE RING, THE (2001)",x,
51,WEST SIDE STORY (1961),,
52,TAXI DRIVER (1976),,
53,"DEER HUNTER, THE (1978)",x,
54,M*A*S*H (1970),,
55,NORTH BY NORTHWEST (1959),,
56,JAWS (1975),,
57,ROCKY (1976),,
58,"GOLD RUSH, THE (1925)",,
59,NASHVILLE (1975),,
60,DUCK SOUP (1933),,
61,SULLIVAN'S TRAVELS (1941),,
62,AMERICAN GRAFFITI (1973),,
63,CABARET (1972),,
64,NETWORK (1976),,
65,"AFRICAN QUEEN, THE (1951)",,
66,RAIDERS OF THE LOST ARK (1981),,
67,WHO'S AFRAID OF VIRGINIA WOOLF? (1966),,
68,UNFORGIVEN (1992),x,
69,TOOTSIE (1982),,
70,"CLOCKWORK ORANGE, A (1971)",,
71,SAVING PRIVATE RYAN (1998),x,
72,"SHAWSHANK REDEMPTION, THE (1994)",,
73,BUTCH CASSIDY AND THE SUNDANCE KID (1969),x,
74,"SILENCE OF THE LAMBS, THE (1991)",,
75,IN THE HEAT OF THE NIGHT (1967),,
76,FORREST GUMP (1994),,
77,ALL THE PRESIDENT'S MEN (1976),,
78,MODERN TIMES (1936),,
79,"WILD BUNCH, THE (1969)",,
80,"APARTMENT, THE (1960)",,
81,SPARTACUS (1960),,
82,SUNRISE (1927),,
83,TITANIC (1997),,
84,EASY RIDER (1969),,
85,"NIGHT AT THE OPERA, A (1935)",,
86,PLATOON (1986),,
87,12 ANGRY MEN (1957),,
88,BRINGING UP BABY (1938),,
89,"SIXTH SENSE, THE (1999)",,
90,SWING TIME (1936),,
91,SOPHIE'S CHOICE (1982),,
92,GOODFELLAS (1990),x,
93,"FRENCH CONNECTION, THE (1971)",,
94,PULP FICTION (1994),,
95,"LAST PICTURE SHOW, THE (1971)",,
96,DO THE RIGHT THING (1989),,
97,BLADE RUNNER (1982),,
98,YANKEE DOODLE DANDY (1942),x,
99,TOY STORY (1995),x,
100,BEN-HUR (1959),,
